province,date,temp_mean,temp_max,temp_min,precip_total,rh_mean
JAWA BARAT,2019-05-01,22.916129032258063,27.748387096774195,19.14516129032258,221.0,82.29032258064517
JAWA BARAT,2019-06-01,22.716666666666665,28.73,17.513333333333332,10.700000000000001,72.86666666666666
JAWA BARAT,2019-07-01,22.76451612903226,29.593548387096774,17.18064516129032,10.4,67.2258064516129
JAWA BARAT,2019-08-01,22.92258064516129,30.09032258064516,17.10967741935484,17.7,64.38709677419355
JAWA BARAT,2019-09-01,24.15666666666667,31.563333333333333,17.78666666666667,10.0,59.86666666666667
JAWA BARAT,2019-10-01,24.712903225806453,31.703225806451613,18.951612903225808,61.5,62.774193548387096
JAWA BARAT,2019-11-01,24.163333333333334,30.096666666666668,19.316666666666666,133.4,71.5
JAWA BARAT,2019-12-01,23.403225806451612,28.16774193548387,19.94516129032258,489.4,83.25806451612904
JAWA BARAT,2020-01-01,22.990322580645163,26.719354838709677,20.212903225806453,443.09999999999997,85.29032258064517
JAWA BARAT,2020-02-01,22.858620689655172,26.313793103448276,20.089655172413792,313.1,85.86206896551724
JAWA BARAT,2020-03-01,23.203225806451613,27.45483870967742,20.009677419354837,366.0,84.06451612903226
JAWA BARAT,2020-04-01,23.16,27.376666666666665,19.779999999999998,297.5,85.5
JAWA BARAT,2020-05-01,23.41290322580645,27.729032258064517,19.980645161290322,297.6,84.61290322580645
JAWA BARAT,2020-06-01,22.853333333333335,27.44,18.933333333333334,79.4,81.66666666666667
JAWA BARAT,2020-07-01,22.387096774193548,27.980645161290322,17.86774193548387,43.1,76.6774193548387
JAWA BARAT,2020-08-01,23.190322580645162,29.0258064516129,18.309677419354838,78.1,75.29032258064517
JAWA BARAT,2020-09-01,23.823333333333334,30.113333333333333,18.876666666666665,84.6,69.4
JAWA BARAT,2020-10-01,23.1,28.0258064516129,19.64516129032258,315.2,80.2258064516129
JAWA BARAT,2020-11-01,23.176666666666666,27.753333333333334,19.4,132.9,80.4
JAWA BARAT,2020-12-01,22.48709677419355,26.051612903225806,20.048387096774192,260.7,82.6774193548387
JAWA BARAT,2021-01-01,22.306451612903224,25.664516129032258,20.041935483870965,224.9,83.87096774193549
JAWA BARAT,2021-02-01,22.32857142857143,25.692857142857143,19.932142857142857,154.7,85.32142857142857
JAWA BARAT,2021-03-01,22.687096774193545,26.809677419354838,19.322580645161292,235.5,82.38709677419355
JAWA BARAT,2021-04-01,22.86,27.41,18.959999999999997,140.5,80.86666666666666
JAWA BARAT,2021-05-01,23.248387096774195,27.96451612903226,19.135483870967743,197.9,81.83870967741936
JAWA BARAT,2021-06-01,22.56,26.93,18.40666666666667,180.6,84.7
JAWA BARAT,2021-07-01,22.164516129032258,27.870967741935484,17.1,47.3,78.54838709677419
JAWA BARAT,2021-08-01,22.548387096774192,28.241935483870968,18.200000000000003,117.8,77.7741935483871
JAWA BARAT,2021-09-01,22.91,28.44333333333333,18.59333333333333,114.10000000000001,78.1
JAWA BARAT,2021-10-01,23.316129032258065,29.009677419354837,18.983870967741936,161.6,78.61290322580645
JAWA BARAT,2021-11-01,22.613333333333333,27.09,19.720000000000002,404.6,84.23333333333333
JAWA BARAT,2021-12-01,22.64516129032258,26.72258064516129,19.448387096774194,210.6,84.3225806451613
JAWA BARAT,2022-01-01,22.54516129032258,26.81935483870968,19.103225806451615,118.0,82.6774193548387
JAWA BARAT,2022-02-01,22.489285714285717,26.62142857142857,19.364285714285717,168.5,82.0
JAWA BARAT,2022-03-01,22.690322580645162,27.306451612903224,18.980645161290322,206.2,83.29032258064517
JAWA BARAT,2022-04-01,22.65666666666667,27.40666666666667,18.88,213.7,83.26666666666667
JAWA BARAT,2022-05-01,22.958064516129035,27.89032258064516,18.774193548387096,131.5,83.2258064516129
JAWA BARAT,2022-06-01,22.026666666666664,26.976666666666667,17.796666666666667,81.10000000000001,82.83333333333333
JAWA BARAT,2022-07-01,22.429032258064513,27.806451612903224,17.84193548387097,64.8,80.48387096774194
JAWA BARAT,2022-08-01,22.883870967741935,28.706451612903226,18.212903225806453,54.2,76.90322580645162
JAWA BARAT,2022-09-01,22.723333333333336,28.42,18.483333333333334,211.3,80.06666666666666
JAWA BARAT,2022-10-01,22.42258064516129,27.093548387096774,18.996774193548386,364.7,83.93548387096774
JAWA BARAT,2022-11-01,22.58,27.08,19.236666666666668,254.2,83.2
JAWA BARAT,2022-12-01,22.280645161290323,26.525806451612905,19.270967741935483,263.5,84.03225806451613
JAWA BARAT,2023-01-01,22.287096774193547,26.438709677419357,19.18064516129032,130.9,82.96774193548387
JAWA BARAT,2023-02-01,22.13214285714286,25.439285714285713,19.62142857142857,189.0,83.5
JAWA BARAT,2023-03-01,22.516129032258064,27.193548387096776,18.77741935483871,197.0,83.0
JAWA BARAT,2023-04-01,22.756666666666668,27.80666666666667,18.533333333333335,101.5,82.13333333333334
JAWA BARAT,2023-05-01,22.961290322580645,27.89032258064516,18.725806451612904,187.2,81.93548387096774
JAWA BARAT,2023-06-01,22.936666666666667,28.206666666666667,18.59,74.0,80.7
JAWA BARAT,2023-07-01,22.038709677419355,27.532258064516128,17.370967741935484,64.30000000000001,78.25806451612904
JAWA BARAT,2023-08-01,22.73225806451613,29.32903225806452,16.70967741935484,22.4,70.80645161290323
JAWA BARAT,2023-09-01,23.526666666666664,30.75,17.186666666666667,13.8,63.7
JAWA BARAT,2023-10-01,24.9,32.00967741935484,18.551612903225806,36.5,62.67741935483871
JAWA BARAT,2023-11-01,23.98,30.176666666666666,19.14333333333333,220.6,77.0
JAWA BARAT,2023-12-01,23.470967741935485,28.65806451612903,19.164516129032258,185.4,80.41935483870968
JAWA BARAT,2024-01-01,23.051612903225806,27.38064516129032,19.806451612903224,295.6,83.41935483870968
JAWA BARAT,2024-02-01,23.17241379310345,27.410344827586208,19.900000000000002,245.0,84.44827586206897
JAWA BARAT,2024-03-01,23.02258064516129,27.338709677419356,19.793548387096774,257.2,84.25806451612904
JAWA BARAT,2024-04-01,23.473333333333336,28.346666666666668,19.723333333333336,272.4,85.23333333333333
JAWA BARAT,2024-05-01,23.541935483870965,28.496774193548386,19.093548387096774,218.5,82.06451612903226
JAWA BARAT,2024-06-01,22.67,28.006666666666668,17.763333333333332,87.3,81.93333333333334
JAWA BARAT,2024-07-01,22.074193548387097,27.806451612903224,16.983870967741936,69.60000000000001,78.16129032258064
JAWA TENGAH,2004-01-01,23.24516129032258,25.74516129032258,21.387096774193548,357.3,89.19354838709677
JAWA TENGAH,2004-02-01,23.093103448275862,25.510344827586206,21.32758620689655,319.3,88.75862068965517
JAWA TENGAH,2004-03-01,23.37741935483871,26.14516129032258,21.335483870967742,387.2,88.70967741935483
JAWA TENGAH,2004-04-01,24.27,27.71333333333333,21.45,116.5,82.56666666666666
JAWA TENGAH,2004-05-01,24.019354838709678,27.470967741935485,21.338709677419356,112.5,84.29032258064517
JAWA TENGAH,2004-06-01,23.470000000000002,27.529999999999998,19.93,36.699999999999996,75.36666666666666
JAWA TENGAH,2004-07-01,24.212903225806453,28.41290322580645,20.838709677419356,16.1,71.2258064516129
JAWA TENGAH,2004-08-01,24.403225806451612,29.15806451612903,20.225806451612904,0.9,63.38709677419355
JAWA TENGAH,2004-09-01,25.006666666666668,29.453333333333333,21.46333333333333,22.7,67.9
JAWA TENGAH,2004-10-01,25.83225806451613,30.348387096774193,22.01290322580645,31.799999999999997,65.2258064516129
JAWA TENGAH,2004-11-01,24.563333333333333,27.946666666666665,22.033333333333335,267.9,80.96666666666667
JAWA TENGAH,2004-12-01,23.325806451612905,26.016129032258064,21.458064516129035,434.8,88.58064516129032
JAWA TENGAH,2005-01-01,23.36774193548387,25.929032258064513,21.39032258064516,253.6,87.35483870967742
JAWA TENGAH,2005-02-01,23.55,26.267857142857142,21.45357142857143,219.6,87.78571428571429
JAWA TENGAH,2005-03-01,23.593548387096774,26.44516129032258,21.503225806451614,352.2,88.19354838709677
JAWA TENGAH,2005-04-01,23.88,27.263333333333332,21.226666666666667,169.8,84.0
JAWA TENGAH,2005-05-01,24.312903225806455,27.96451612903226,21.306451612903224,42.9,78.3225806451613
JAWA TENGAH,2005-06-01,24.27,27.746666666666666,21.509999999999998,62.2,79.43333333333334
JAWA TENGAH,2005-07-01,23.83225806451613,28.0258064516129,20.383870967741935,36.4,74.51612903225806
JAWA TENGAH,2005-08-01,24.629032258064516,28.809677419354838,21.106451612903225,10.6,67.7741935483871
JAWA TENGAH,2005-09-01,25.37,29.776666666666664,21.796666666666667,30.7,67.43333333333334
JAWA TENGAH,2005-10-01,24.838709677419356,28.51290322580645,22.08709677419355,164.6,76.03225806451613
JAWA TENGAH,2005-11-01,24.296666666666667,27.8,21.533333333333335,147.0,80.36666666666666
JAWA TENGAH,2005-12-01,23.103225806451615,25.887096774193548,21.187096774193545,475.2,89.19354838709677
JAWA TENGAH,2006-01-01,22.96451612903226,25.393548387096775,21.270967741935483,375.1,88.54838709677419
JAWA TENGAH,2006-02-01,23.24642857142857,25.974999999999998,21.192857142857143,389.4,88.92857142857143
JAWA TENGAH,2006-03-01,23.44193548387097,26.003225806451614,21.506451612903227,280.8,87.45161290322581
JAWA TENGAH,2006-04-01,23.44,26.61,20.990000000000002,260.5,87.4
JAWA TENGAH,2006-05-01,23.48709677419355,26.861290322580647,20.822580645161292,164.4,85.03225806451613
JAWA TENGAH,2006-06-01,23.376666666666665,27.263333333333332,20.14,35.9,77.43333333333334
JAWA TENGAH,2006-07-01,24.061290322580643,28.38064516129032,20.38064516129032,8.9,69.41935483870968
JAWA TENGAH,2006-08-01,24.251612903225805,28.967741935483872,20.17096774193548,2.7,62.58064516129032
JAWA TENGAH,2006-09-01,24.836666666666666,29.69,20.423333333333336,0.6000000000000001,60.5
JAWA TENGAH,2006-10-01,25.674193548387095,30.206451612903226,21.896774193548385,12.7,63.483870967741936
